"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"Your Recent Searches","Your Recent Searches"
"Clear Recent Searches","Clear Recent Searches"
"No search terms available.","No search terms available."
"Failed to load popular search terms.","Failed to load popular search terms."
"An error occurred while loading popular search terms.","An error occurred while loading popular search terms."
"Number of Terms","Number of Terms"
"Sort Order","Sort Order"
"Time Period (days)","Time Period (days)"
"Cache Lifetime (seconds)","Cache Lifetime (seconds)"
"Enable Module","Enable Module"
"Enable or disable the Popular Search Terms widget","Enable or disable the Popular Search Terms widget"
"Number of search terms to display","Number of search terms to display"
"How to sort the search terms","How to sort the search terms"
"Number of days to look back for search terms","Number of days to look back for search terms"
"Time in seconds to cache the search terms data","Time in seconds to cache the search terms data"
"Popularity (Most Popular First)","Popularity (Most Popular First)"
"Recency (Most Recent First)","Recency (Most Recent First)"
